,propertyLink,dateAdded,propertyTypeRaw,propertyType,propertyAddress,propertyPrice,propertyAgency,propertyNumber,dateScraped
98,https://www.rightmove.co.uk/properties/109945226#/?channel=RES_BUY,Reduced on 04/11/2021 ,2 bedroom flat for sale,other,"HALESOWEN, Larkspur Court, Narrow Lane",160000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
99,https://www.rightmove.co.uk/properties/115736660#/?channel=RES_BUY,Added on 02/11/2021 ,2 bedroom apartment for sale,apartment,"Narrow Lane, Halesowen, B62",160000,"Purplebricks, covering Birmingham",02475 060293,2021-12-29 18:34:25.736971
100,https://www.rightmove.co.uk/properties/106432940#/?channel=RES_BUY,Reduced on 19/08/2021 ,2 bedroom detached bungalow for sale,detached,"HALESOWEN, Holcroft Road",225000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
101,https://www.rightmove.co.uk/properties/113533706#/?channel=RES_BUY,Added on 15/09/2021 ,2 bedroom terraced house for sale,terrace,"Feldon Lane, Halesowen, West Midlands, B62",160000,"Hicks Hadley, Halesowen",0121 396 0594,2021-12-29 18:34:25.736971
102,https://www.rightmove.co.uk/properties/108780470#/?channel=RES_BUY,Added on 14/06/2021 ,1 bedroom retirement property for sale,other,"Spies Lane, Halesowen",150000,"A P Morgan Estate Agents, Halesowen",0121 396 0843,2021-12-29 18:34:25.736971
103,https://www.rightmove.co.uk/properties/114430592#/?channel=RES_BUY,Added on 06/10/2021 ,2 bedroom terraced house for sale,terrace,"HALESOWEN, Cherry Street",150000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
104,https://www.rightmove.co.uk/properties/115887329#/?channel=RES_BUY,Added on 05/11/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Spies Lane",150000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
105,https://www.rightmove.co.uk/properties/117908276#/?channel=RES_BUY,Added on 24/09/2021 ,2 bedroom house for sale,other,"Albert Road, Halesowen, B63",149950,"The Online Property Agency, Birmingham",0121 396 0171,2021-12-29 18:34:25.736971
106,https://www.rightmove.co.uk/properties/112540850#/?channel=RES_BUY,Added on 27/08/2021 ,2 bedroom semi-detached house for sale,detached,"Butchers Lane, Halesowen",135000,"Bloore King & Kavanagh, Halesowen",0121 396 0482,2021-12-29 18:34:25.736971
107,https://www.rightmove.co.uk/properties/82162413#/?channel=RES_BUY,Reduced on 22/11/2021 ,1 bedroom flat for sale,other,"HALESOWEN, Lyttleton House",125000,"Taylors Estate Agents, Halesowen",0121 396 0500,2021-12-29 18:34:25.736971
